0;0;0;0;land;false;unknown;0
1;104;191;217;land;false;plains;1
2;223;41;246;land;false;plains;1
3;202;183;121;land;false;plains;1
4;171;223;158;land;true;plains;1
5;240;184;105;land;false;plains;1
6;206;236;166;land;false;plains;1
7;138;212;244;land;true;plains;1
8;253;162;90;land;false;plains;1
9;231;114;247;land;false;plains;1
10;177;214;237;land;true;plains;1
11;237;222;50;land;true;plains;1
12;231;242;114;land;true;plains;1
13;120;235;196;land;false;plains;1
14;233;201;200;land;false;plains;1
15;247;68;200;land;false;plains;1
16;235;164;163;land;false;plains;1
17;202;235;149;land;false;plains;1
18;122;177;206;land;true;plains;1
19;214;143;211;land;false;plains;1
20;229;230;136;land;false;plains;1
21;191;203;218;land;false;plains;1
22;183;153;233;land;false;plains;1
23;177;212;155;land;false;plains;1
24;164;181;212;land;false;plains;1
25;203;112;254;land;false;plains;1
26;179;233;141;land;true;plains;1
27;154;190;254;land;false;plains;1
28;217;197;192;land;false;plains;1
29;139;249;191;land;false;plains;1
30;112;213;188;land;false;plains;1
31;186;224;149;land;false;plains;1
32;208;129;202;land;false;plains;1
33;222;152;220;land;false;plains;1
34;251;125;241;land;false;plains;1
35;244;205;235;land;false;plains;1
36;107;242;191;land;false;plains;1
37;226;91;207;land;false;plains;1
38;197;216;147;land;false;plains;1
39;244;81;195;land;false;plains;1
40;72;214;246;land;false;plains;1
41;137;163;214;land;false;plains;1
42;65;239;201;land;false;plains;1
43;215;181;142;land;false;plains;1
44;228;123;182;land;false;plains;1
45;154;226;168;land;false;plains;1
46;239;156;206;land;true;plains;1
47;234;44;235;land;false;plains;1
48;253;53;214;land;false;plains;1
49;194;214;157;land;false;plains;1
50;236;245;163;land;false;plains;1
51;83;241;186;land;false;plains;1
52;242;250;72;land;false;plains;1
53;183;213;250;land;false;plains;1
54;148;229;186;land;false;plains;1
55;119;203;224;land;false;plains;1
56;44;222;250;land;false;plains;1
57;226;153;249;land;false;plains;1
58;170;188;155;land;false;plains;1
59;237;154;192;land;false;plains;1
60;182;240;196;land;false;plains;1
61;127;223;177;land;false;plains;1
62;218;254;245;land;false;plains;1
63;160;214;245;land;true;plains;1
64;233;222;226;land;true;plains;1
65;250;236;47;land;false;plains;1
66;202;248;151;land;false;plains;1
67;230;52;246;land;false;plains;1
68;247;230;109;land;false;plains;1
69;179;202;154;land;false;plains;1
70;188;238;221;land;false;plains;1
71;151;188;226;land;false;plains;1
72;156;244;176;land;true;plains;1
73;223;206;127;land;false;plains;1
74;240;252;29;land;false;plains;1
75;195;169;158;land;true;plains;1
76;160;207;253;land;true;plains;1
77;186;203;233;land;false;plains;1
78;155;131;231;land;false;plains;1
79;253;43;229;land;true;plains;1
80;227;106;182;land;false;plains;1
81;175;180;253;land;false;plains;1
82;202;249;211;land;false;plains;1
83;150;215;172;land;false;plains;1
84;189;207;153;land;false;plains;1
85;184;166;199;land;false;plains;1
86;215;249;157;land;false;plains;1
87;92;204;209;land;false;plains;1
88;181;191;204;land;true;plains;1
89;163;246;129;land;false;plains;1
90;174;198;242;land;false;plains;1
91;197;159;227;land;false;plains;1
92;241;126;186;land;false;plains;1
93;193;99;238;land;false;plains;1
94;164;238;146;land;false;plains;1
95;237;124;231;land;false;plains;1
96;223;249;222;land;false;plains;1
97;177;219;252;land;false;plains;1
98;177;134;243;land;false;plains;1
99;149;229;237;land;false;plains;1
100;176;245;236;land;false;plains;1
101;186;169;153;land;false;plains;1
102;208;213;101;land;false;plains;1
103;215;246;47;land;false;plains;1
104;245;105;156;land;false;plains;1
105;224;180;181;land;false;plains;1
106;244;136;214;land;false;plains;1
107;200;169;187;land;false;plains;1
108;238;249;127;land;true;plains;1
109;251;216;98;land;false;plains;1
110;109;221;189;land;false;plains;1
111;140;215;229;land;false;plains;1
112;234;215;63;land;false;plains;1
113;203;192;192;land;false;plains;1
114;166;130;254;land;false;plains;1
115;224;250;190;land;false;plains;1
116;228;219;173;land;false;plains;1
117;139;131;240;land;false;plains;1
118;249;148;205;land;false;plains;1
119;158;168;186;land;false;plains;1
120;182;194;211;land;false;plains;1
121;141;173;189;land;false;plains;1
122;147;184;229;land;false;plains;1
123;234;222;66;land;false;plains;1
124;199;232;193;land;false;plains;1
